          0           0           0
 1.0254E-07  9.7359E-07 -6.9893E-11
 2.1034E-07  1.9971E-06 -2.9409E-10
 3.2367E-07  3.0731E-06 -5.0922E-10
 4.4281E-07  4.2042E-06 -9.0674E-10
 5.6805E-07  5.3934E-06 -1.4585E-09
 6.9972E-07  6.6435E-06 -2.1926E-09
 8.3814E-07  7.9577E-06 -3.1324E-09
 9.8365E-07  9.3393E-06 -4.3035E-09
 1.1366E-06 0.000010792 -5.7388E-09
 1.2974E-06 0.000012319 -7.4707E-09
 1.4665E-06 0.000013924 -9.5395E-09
 1.6442E-06 0.000015611-0.000000012
 1.8311E-06 0.000017385 -1.4862E-08
 2.0275E-06  0.00001925 -1.8217E-08
0.000002234 0.000021211 -2.2112E-08
 2.4511E-06 0.000023272 -2.6614E-08
 2.6793E-06 0.000025439 -3.1795E-08
 2.9192E-06 0.000027716 -3.7738E-08
 3.1714E-06 0.000030111 -4.4532E-08
 3.4366E-06 0.000032628 -5.2279E-08
 3.7153E-06 0.000035275 -6.1091E-08
 4.0083E-06 0.000038057 -7.1091E-08
 4.3164E-06 0.000040982 -8.2417E-08
 4.6402E-06 0.000044057 -9.5221E-08
 4.9807E-06 0.000047289 -1.0967E-07
 5.3386E-06 0.000050687-0.000000126
 5.7149E-06 0.000054259 -1.4427E-07
 6.1104E-06 0.000058015 -1.6486E-07
 6.5262E-06 0.000061963-0.000000188
 6.9634E-06 0.000066113 -2.1387E-07
 7.4229E-06 0.000070476 -2.4288E-07
 7.9061E-06 0.000075063 -2.7533E-07
0.000008414 0.000079884 -3.1159E-07
 8.9479E-06 0.000084954 -3.5207E-07
 9.5092E-06 0.000090282 -3.9723E-07
0.000010099 0.000095884 -4.4756E-07
 0.00001072  0.00010177 -5.0361E-07
0.000011372  0.00010796-0.000000566
0.000012057  0.00011447 -6.3528E-07
0.000012778  0.00012131 -7.1227E-07
0.000013536  0.00012851 -7.9771E-07
0.000014332  0.00013607 -8.9245E-07
 0.00001517  0.00014402  -9.974E-07
 0.00001605  0.00015237 -1.1136E-06
0.000016975  0.00016116-0.000001242
0.000017948  0.00017039 -1.3839E-06
0.000018971   0.0001801 -1.5405E-06
0.000020046   0.0001903 -1.7132E-06
0.000021177  0.00020103 -1.9032E-06
0.000022365  0.00021231 -2.1122E-06
0.000023614  0.00022416 -2.3418E-06
0.000024927  0.00023662 -2.5935E-06
0.000026308  0.00024972 -2.8691E-06
0.000027759  0.00026349 -3.1704E-06
0.000029285  0.00027797 -3.4991E-06
0.000030889  0.00029318-0.000003857
0.000032576  0.00030918 -4.2459E-06
0.000034348  0.00032599 -4.6675E-06
0.000036212  0.00034366 -5.1234E-06
0.000038171  0.00036224-0.000005615
0.000040231  0.00038177 -6.1438E-06
0.000042396   0.0004023 -6.7109E-06
0.000044672  0.00042388 -7.3172E-06
0.000047065  0.00044656 -7.9634E-06
0.000049581   0.0004704 -8.6502E-06
0.000052225  0.00049546 -9.3777E-06
0.000055005   0.0005218-0.000010146
0.000057928  0.00054949-0.000010956
0.000061001   0.0005786-0.000011808
0.000064231  0.00060919-0.000012701
0.000067627  0.00064135-0.000013637
0.000071196  0.00067516-0.000014616
0.000074949  0.00071069-0.000015638
0.000078895  0.00074804-0.000016706
0.000083042   0.0007873 -0.00001782
0.000087402  0.00082856-0.000018983
0.000091986  0.00087194-0.000020196
0.000096805  0.00091753-0.000021462
 0.00010187  0.00096546-0.000022784
  0.0001072   0.0010158-0.000024164
 0.00011279   0.0010688-0.000025606
 0.00011868   0.0011244-0.000027113
 0.00012487   0.0011829-0.000028688
 0.00013137   0.0012444-0.000030337
 0.00013821   0.0013091-0.000032062
  0.0001454    0.001377-0.000033867
 0.00015296   0.0014484-0.000035758
  0.0001609   0.0015234-0.000037739
 0.00016925   0.0016023-0.000039815
 0.00017803   0.0016852-0.000041991
 0.00018726   0.0017724-0.000044273
 0.00019697    0.001864-0.000046666
 0.00020717   0.0019603-0.000049176
 0.00021789   0.0020615-0.000051809
 0.00022917   0.0021678-0.000054572
 0.00024102   0.0022796-0.000057472
 0.00025348   0.0023971-0.000060515
 0.00026658   0.0025206 -0.00006371
 0.00028035   0.0026503-0.000067065
 0.00029483   0.0027867-0.000070586
 0.00031004   0.0029301-0.000074285
 0.00032604   0.0030807-0.000078168
 0.00034286   0.0032391-0.000082247
 0.00036054   0.0034055 -0.00008653
 0.00037913   0.0035803-0.000091029
 0.00039867   0.0037641-0.000095755
 0.00041922   0.0039572 -0.00010072
 0.00044081   0.0041602 -0.00010593
 0.00046352   0.0043735 -0.00011141
 0.00048738   0.0045976 -0.00011717
 0.00051248   0.0048332 -0.00012321
